Time (minutes),Conc A (mol / L),Conc B (mol / L)
0.0,20,0
0.5,18.8,1.2
1.0,17.792,2.208
1.5,16.94528,3.05472
2.0,16.2340352,3.7659648
2.5,15.636589568000002,4.363410432
3.0,15.134735237120001,4.865264762880001
3.5,14.713177599180801,5.286822400819201
4.0,14.359069183311872,5.640930816688129
4.5,14.061618113981973,5.938381886018028
5.0,13.811759215744857,6.188240784255144
5.5,13.60187774122568,6.398122258774321
6.0,12.785765076752138,7.2142349232478615
6.5,12.100230438594364,7.899769561405636
7.0,11.524381342541833,8.475618657458167
7.5,11.040668101857708,8.959331898142292
8.0,10.634348979683043,9.365651020316957
8.5,10.293040917056324,9.706959082943676
9.0,10.00634214444988,9.99365785555012
9.5,9.765515175460466,10.234484824539534
10.0,9.56322052150936,10.43677947849064
10.5,9.39329301219043,10.60670698780957
11.0,9.25055390436253,10.74944609563747
11.5,9.130653053787093,10.869346946212907
12.0,9.029936339303726,10.970063660696274
12.5,8.945334299137699,11.054665700862303
13.0,8.874268585398235,11.125731414601766
13.5,8.814573385857086,11.185426614142916
14.0,8.76442941824252,11.235570581757482
14.5,8.722308485446284,11.277691514553718
15.0,8.686926901897447,11.313073098102555
15.5,8.657206371716423,11.342793628283578
16.0,8.632241126364363,11.367758873635639
16.5,8.611270320268632,11.38872967973137
17.0,8.593654843148219,11.406345156851783
17.5,8.578857842367071,11.42114215763293
18.0,8.566428361710908,11.433571638289093
18.5,8.555987597959732,11.44401240204027
19.0,8.547217356408742,11.45278264359126
19.5,8.539850353505912,11.46014964649409
20.0,8.533662071067534,11.466337928932468
20.5,8.528463913819296,11.471536086180706
21.0,8.524097461730777,11.475902538269224
21.5,8.52042964197642,11.479570358023581
22.0,8.517348673382761,11.48265132661724
22.5,8.514760659764088,11.485239340235914
23.0,8.512586728324402,11.4874132716756
23.5,8.510760625915067,11.489239374084935
24.0,8.509226699891224,11.490773300108778
24.5,8.507938202031196,11.492061797968805
25.0,8.506855863828774,11.493144136171228
25.5,8.505946699738738,11.494053300261264
