Flow Rate (m^3 / min),Tau's,Time (min),Ca'_analyt,Ca'_euler,difference in Ca'from models
0.085,6.588333333333389,46.9000000000004,0.28773341282047893,0.27683415471653994,0.010899258103938991
1e-05,7.3103480952381075,73.10000000000012,4.7584624351894706e-05,0.09991829958160571,0.09987071495725382
0.01,6.495238095238159,62.00000000000061,0.045385157991749095,0.138376939551389,0.0929917815596399
0.1,6.628095238095293,44.90000000000037,0.3221476289732232,0.29447658172178864,0.027671047251434544
0.25,7.0533333333333745,32.20000000000019,0.542998006252772,0.4158141220881086,0.12718388416466336
0.5,7.505714285714301,22.200000000000045,0.7038247579208474,0.5303439859301842,0.17348077199066325
1,8.066666666666647,13.999999999999966,0.8261715362157758,0.6571127977729035,0.16905873844287223
2,8.73476190476189,8.299999999999986,0.9048156110915587,0.7832074423545565,0.1216081687370022
5,9.923809523809528,4.000000000000002,0.9596326391285269,0.9231403321565897,0.03649230697193717
10,11.182380952380957,2.3000000000000007,0.9794097639694511,0.9967346085836923,0.01732484461424122
