Time(sec)	Level	Setpoint	%Valve Output	Temp.	Setpoint	%Power to Heater
0.00	13.76	5.00	0.00	31.36	30.00	0.00
0.10	7.27	5.00	54.00	15.68	30.00	0.00
0.20	9.04	5.00	54.00	18.84	30.00	0.00
0.30	10.81	5.00	0.94	21.97	30.00	0.00
0.40	12.57	5.00	1.28	25.09	30.00	0.00
0.50	14.34	5.00	1.61	28.23	30.00	0.00
0.60	16.11	5.00	1.91	31.36	30.00	0.00
0.70	16.50	5.00	2.26	31.35	30.00	0.00
0.80	16.89	5.00	2.60	31.36	30.00	0.00
0.90	17.28	5.00	2.92	31.36	30.00	0.00
1.00	17.68	5.00	3.27	31.35	30.00	0.00
1.10	17.68	5.00	3.61	31.34	30.00	0.00
1.20	17.68	5.00	3.94	31.31	30.00	0.00
1.30	17.68	5.00	4.27	31.34	30.00	0.00
1.40	17.68	5.00	4.61	31.34	30.00	0.00
1.50	17.68	5.00	4.92	31.34	30.00	0.00
1.60	17.67	5.00	5.25	31.33	30.00	0.00
1.70	17.67	5.00	5.61	31.34	30.00	0.00
1.80	17.67	5.00	5.93	31.34	30.00	0.00
1.90	17.66	5.00	6.27	31.33	30.00	0.00
2.00	17.66	5.00	6.58	31.38	30.00	0.00
2.10	17.65	5.00	6.94	31.35	30.00	0.00
2.20	17.65	5.00	7.28	31.36	30.00	0.00
2.30	17.65	5.00	7.60	31.32	30.00	0.00
2.40	17.64	5.00	7.94	31.31	30.00	0.00
2.50	17.63	5.00	8.28	31.31	30.00	0.00
2.60	17.63	5.00	8.58	31.26	30.00	0.00
2.70	17.12	5.00	8.95	31.25	30.00	0.00
2.80	17.11	5.00	9.28	31.23	30.00	0.00
2.90	17.10	5.00	9.61	31.32	30.00	0.00
3.00	17.09	5.00	9.93	31.28	30.00	0.00
3.10	17.07	5.00	10.25	31.31	30.00	0.00
3.20	17.05	5.00	10.61	31.29	30.00	0.00
3.30	17.03	5.00	10.94	31.30	30.00	0.00
3.40	17.00	5.00	11.27	31.29	30.00	0.00
3.50	16.96	5.00	11.61	31.32	30.00	0.00
3.60	16.92	5.00	11.92	31.41	30.00	0.00
3.70	17.37	5.00	12.25	31.42	30.00	0.00
3.80	17.29	5.00	12.60	31.43	30.00	0.00
3.90	17.20	5.00	12.92	31.35	30.00	0.00
4.00	17.12	5.00	13.28	31.39	30.00	0.00
  4.10	 16.95	  5.00	 13.58	 31.39	 30.00	  0.00
  4.20	 16.29	  5.00	 13.95	 31.38	 30.00	  0.00
  4.30	 16.10	  5.00	 14.28	 31.39	 30.00	  0.00
  4.40	 15.93	  5.00	 14.61	 31.40	 30.00	  0.00
  4.50	 15.56	  5.00	 14.95	 31.35	 30.00	  0.00
  4.60	 15.19	  5.00	 15.26	 31.37	 30.00	  0.00
  4.70	 14.82	  5.00	 15.61	 31.37	 30.00	  0.00
  4.80	 14.43	  5.00	 15.94	 31.36	 30.00	  0.00
  4.90	 13.82	  5.00	 16.28	 31.36	 30.00	  0.00
  5.00	 13.20	  5.00	 16.61	 31.25	 30.00	  0.00
  5.10	 12.67	  5.00	 16.94	 31.26	 30.00	  0.00
  5.20	 12.57	  5.00	 17.25	 31.26	 30.00	  0.00
  5.30	 11.96	  5.00	 17.61	 31.25	 30.00	  0.00
  5.40	 11.36	  5.00	 17.94	 31.25	 30.00	  0.00
  5.50	 10.95	  5.00	 18.28	 31.21	 30.00	  0.00
  5.60	 10.47	  5.00	 18.58	 31.16	 30.00	  0.00
  5.70	  9.99	  5.00	 54.00	 31.14	 30.00	  0.00
  5.80	  9.57	  5.00	 54.00	 31.13	 30.00	  0.00
  5.90	  9.37	  5.00	 54.00	 31.15	 30.00	  0.00
